date,F,T,n,fwd_flag,a_free,b_free,rho_free,m_free,sigma_free,a_ridge,b_ridge,rho_ridge,m_ridge,sigma_ridge,rmse_free,rmse_ridge
2026-01-02,7275.0,0.958904109589041,179,True,0.005998312361593837,0.09243718717893243,-0.6116017208317546,0.06575618126503939,0.1153656959748772,0.005998312361593837,0.09243718717893243,-0.6116017208317546,0.06575618126503939,0.1153656959748772,0.002463062909854775,0.002463062909854775
2026-01-05,7275.0,0.9506849315068493,179,True,-0.006072695148213496,0.11354683380402998,-0.40211779177166806,0.10137485126637683,0.18941875465081842,0.0022801051222282663,0.09952980247425358,-0.5401012862920468,0.07841187551858994,0.14230986739198237,0.0023334764028991573,0.002181216521388582
2026-01-06,7325.0,0.947945205479452,179,True,-0.006032182495147552,0.11263085755885044,-0.4020122882648786,0.10113542237298284,0.18952730021924763,0.0022534906026694646,0.09871706306981659,-0.5400210858644959,0.07823366247185068,0.14241105549523644,0.002342211792331093,0.0021853847829928093
2026-01-07,7250.0,0.9452054794520548,179,True,-0.005865873883499275,0.11242513023521125,-0.404031815479906,0.11057920794679213,0.1895533989254874,0.002294432888701388,0.0986892683241808,-0.5413772395727979,0.08773833091962696,0.14346435425554838,0.002279608493432534,0.002139198961919595
2026-01-08,7300.0,0.9424657534246575,179,True,-0.006093140675849642,0.11199217967018212,-0.4027497480959797,0.10388420496408358,0.18924720798118388,0.002000338568075501,0.09830530679005456,-0.5400649041062637,0.08112621266099428,0.14351836110359892,0.00235834163259369,0.002228849768077916
2026-01-09,7475.0,0.9397260273972603,179,True,-0.006108699729233259,0.11130492297689114,-0.39851046186830175,0.08249416742532255,0.1892420864491736,0.0019372841788367129,0.09762830935442693,-0.5363045178739008,0.05974790364975803,0.14346815859626583,0.002237597792645626,0.0022683727190110623
2026-01-12,7275.0,0.9315068493150684,179,True,-0.006785145647151633,0.11270735663921586,-0.40436555641830485,0.10729058482145964,0.19209122002835805,0.0012708996754789653,0.09914371163864312,-0.5410145182456444,0.08442670267736388,0.14770348494756091,0.0023738000628587353,0.0022947597231080734
2026-01-13,7175.0,0.9287671232876712,179,True,-0.007428225602311676,0.11526532746741278,-0.4074367015805618,0.11985883263931864,0.19286364480013068,0.0007291788080755981,0.10155967533233307,-0.5433514088184255,0.09705046113384666,0.1493012171941696,0.002405566850867951,0.00223613600701868
2026-01-14,7625.0,0.9260273972602739,179,True,-0.00760877316403584,0.11520934980740145,-0.3969299475816162,0.06368154171330344,0.1940145449433327,0.0006531636121872722,0.10123013341278059,-0.5342616263875645,0.04068614710733637,0.14972613219242595,0.0020717961795830003,0.002137849152978668
2026-01-15,7275.0,0.9232876712328767,179,True,-0.008506278273123172,0.1161541671312873,-0.4069592894998568,0.1059731884643321,0.19919031125624487,-0.00033200263116188493,0.10240851329216039,-0.5425788428821994,0.08350425027386005,0.15673909858406884,0.002480796205195951,0.002367569257865116
