date,F,T,n,atm_iv,fwd_flag,a_0,b_0,rho_0,m_0,sigma_0,rmse_0,a_1e-07,b_1e-07,rho_1e-07,m_1e-07,sigma_1e-07,rmse_1e-07,a_1e-06,b_1e-06,rho_1e-06,m_1e-06,sigma_1e-06,rmse_1e-06,a_1e-05,b_1e-05,rho_1e-05,m_1e-05,sigma_1e-05,rmse_1e-05,a_0.0001,b_0.0001,rho_0.0001,m_0.0001,sigma_0.0001,rmse_0.0001,a_0.001,b_0.001,rho_0.001,m_0.001,sigma_0.001,rmse_0.001,a_0.01,b_0.01,rho_0.01,m_0.01,sigma_0.01,rmse_0.01
2026-01-02,7236.568065510909,0.958904109589041,179,0.1534148975339774,False,0.00597765818736314,0.09259319977768858,-0.6122890860286778,0.07015853995164997,0.1158127402188666,0.0024667211786718675,0.00597765818736314,0.09259319977768858,-0.6122890860286778,0.07015853995164997,0.1158127402188666,0.0024667211786718675,0.00597765818736314,0.09259319977768858,-0.6122890860286778,0.07015853995164997,0.1158127402188666,0.0024667211786718675,0.00597765818736314,0.09259319977768858,-0.6122890860286778,0.07015853995164997,0.1158127402188666,0.0024667211786718675,0.00597765818736314,0.09259319977768858,-0.6122890860286778,0.07015853995164997,0.1158127402188666,0.0024667211786718675,0.00597765818736314,0.09259319977768858,-0.6122890860286778,0.07015853995164997,0.1158127402188666,0.0024667211786718675,0.00597765818736314,0.09259319977768858,-0.6122890860286778,0.07015853995164997,0.1158127402188666,0.0024667211786718675
2026-01-05,7292.90756147469,0.9506849315068493,179,0.15167125328670347,False,0.006024357899491769,0.09293392586137972,-0.6119948113830666,0.06675744161430411,0.11565616565213645,0.0022963274197326322,0.006023997274696621,0.09293409318511496,-0.6119914299258856,0.06675955299639037,0.11565849803186962,0.002296313161885637,0.0060207688703732545,0.09293559980736128,-0.6119610767095215,0.06677843855733871,0.11567938086955927,0.0022961869444657664,0.00449713473459,0.09555936930820268,-0.5851184764940142,0.06998045097538107,0.1278001928318919,0.0022390301348963935,0.005764954360570361,0.09324977533415535,-0.6072190179230071,0.06804744249781487,0.11716279420393418,0.0022832679020231457,0.005872604835705002,0.09258322106718546,-0.6114978418882153,0.06947167921294631,0.11582181352549206,0.0023167541559947747,0.0059362226013279455,0.09231034905989745,-0.612197922063348,0.07004090859013926,0.11577439916065134,0.002334073049659562
2026-01-06,7325.608771916619,0.947945205479452,179,0.15636003505303092,False,-0.011319640323952053,0.12101707613987361,-0.33881403944252875,0.11229889908664767,0.2168845521594246,0.0025042452940826463,-0.009728782358487533,0.1186527952197503,-0.35620840670402265,0.10864929856849229,0.2089161911010904,0.002451593951850486,-0.0016380111322112955,0.10552099905425513,-0.4792728343044534,0.08498544554002592,0.168462801286214,0.002207974723173092,0.0033727153439092007,0.09678759560642991,-0.5657999862201759,0.07367119412437396,0.13614097140451759,0.0022055676429088484,0.005581548146584613,0.09306873378358155,-0.6063442757078749,0.06837291900572762,0.11973340487022943,0.002272683472313127,0.0058826531649644725,0.09230334286271265,-0.6110686194544893,0.06919160753610715,0.11615262879963527,0.002287553105005736,0.005920266058700369,0.09203669466738026,-0.6121350590927531,0.06997692716464825,0.11578234244900541,0.0022957388912711856
2026-01-07,7275.698607068398,0.9452054794520548,179,0.1589876256546569,False,-0.011055427931744707,0.12037193749581743,-0.3405511475922938,0.11980668547051739,0.21621683721652327,0.002435994810758554,-0.00875209222930576,0.11741179356301962,-0.35643645930344503,0.11659610928564786,0.20230461952686274,0.002373402116728979,-0.001515890236945695,0.1048636191251833,-0.4805135978645801,0.0934312420262441,0.16835210843063206,0.0021616027518039115,0.0028100238599975728,0.09787376124204107,-0.5492842882639728,0.08291706810981692,0.14017321134965627,0.002133868808693372,0.005663386495654631,0.09319602479056105,-0.6070250337187603,0.07350338608471742,0.12110723314205454,0.0022444460259572366,0.006158300469168976,0.09306527840993639,-0.6116487601841002,0.0705443153253855,0.11682457068455168,0.0023266132450024566,0.0060380902782838,0.09333213786690119,-0.6121937244055952,0.07022403874547332,0.1159551717031357,0.002361764086743825
2026-01-08,7283.995598807795,0.9424657534246575,179,0.15565114537863792,False,-0.007799179164724261,0.11471544395883965,-0.3822583068646834,0.1093998727253032,0.19842855483542077,0.0024256410887270427,-0.009208878565050448,0.11712012975324987,-0.3564125765913668,0.11651840650307181,0.20228081382068888,0.0025274020594675327,-0.0019805585416608033,0.10457791974006429,-0.48049143577662917,0.09335314222830346,0.1683279346417643,0.0022911112614038354,0.001625724265889992,0.09894676497250199,-0.5339478464696497,0.08406986567414845,0.14577753339938557,0.0022337919095937954,0.0051419348426297515,0.09283045819928537,-0.606129643285438,0.07373665546890407,0.12251580923938782,0.0023245001760315957,0.005893602229084795,0.09220123048277294,-0.612291950062632,0.07094845085279065,0.1168271190779341,0.0023899980523035746,0.005995674694694484,0.09229633209834037,-0.6122300850573472,0.07024313538923355,0.1159513563644771,0.002415826746861939
2026-01-09,7292.408570636769,0.9397260273972603,179,0.1530860739567904,False,-0.008059179571071823,0.11448520397903014,-0.3822382102878635,0.10934522693557112,0.1984232713905203,0.0024269270518633883,-0.00916100826589002,0.11621779544524465,-0.35628950218778493,0.11618625308357297,0.20241743643146273,0.0025001020201866533,-0.0034066192711946076,0.10666674447853479,-0.4581036508225696,0.09433233176538887,0.17717789874857426,0.002307039037036222,0.0005074808995981276,0.10004418442630561,-0.5230162557465862,0.08456907556765449,0.15366742673483355,0.0022970169098154814,0.004799565745672642,0.09269341023186252,-0.6035331239811392,0.0734712368574048,0.12428818722996236,0.002419755976254144,0.005687977962384432,0.09168525299528339,-0.6126357198301512,0.07110879972317691,0.11693827143264578,0.0024745483798515933,0.0059287692795798605,0.0915740137560369,-0.6122843525812995,0.07022803117026087,0.11591416148119384,0.0025343923333155066
2026-01-12,7270.0039471449245,0.9315068493150684,179,0.15416787992118786,False,-0.008119236051554155,0.11556108480758862,-0.3824142082368277,0.10972860160135463,0.19832798181712066,0.00244159786993362,-0.009392926922168131,0.11770368939302638,-0.35650599948932,0.11653530980392755,0.20225550326736932,0.002508982999663286,-0.003562562062576031,0.10795079645126615,-0.45826898313634074,0.09474435879699326,0.177057621194723,0.002326996727722933,-0.0002920327369426143,0.10183633880483502,-0.51688578460613,0.087631172355007,0.1584961086756217,0.002288023327601091,0.004470659836992599,0.09382751235129827,-0.6038911471737974,0.07535419661152057,0.12653113633891783,0.002407110582612375,0.005580051094998964,0.0927819551674401,-0.6135940924744033,0.07186958706366216,0.11727595965537725,0.0025293240638908647,0.005895071599371305,0.09267196636646989,-0.6125133968525026,0.0703511253339191,0.11590904063115863,0.0026677846932326023
2026-01-13,7336.5082681450485,0.9287671232876712,179,0.15367098080636363,False,-0.008694054533136627,0.1173660800020191,-0.3815508031296953,0.10396333853295797,0.19812259108515504,0.0023945594600777876,-0.00998399914379583,0.11985452583021536,-0.35553533657101755,0.10944043662215608,0.20234541721469682,0.002478715802364348,-0.004058219123846192,0.10948066176142376,-0.45735840026438457,0.08960731054117463,0.17667392882657976,0.0022454471731298453,-0.0014312250104137746,0.10491841558593563,-0.503150926510657,0.08236597194667142,0.16271944645690536,0.002218073224005573,0.00383462789893714,0.09560115342817598,-0.5980538232328741,0.07082910137814169,0.12784452698468748,0.0023206037470617927,0.005094914962358876,0.09330825888231248,-0.6133289637824352,0.07074009711874663,0.11696976610261724,0.0023829098332494958,0.005696608950399486,0.09250174023405754,-0.612655031835127,0.07012402589851947,0.11568859170555912,0.0026085112855540457
2026-01-14,7213.742112575967,0.9260273972602739,179,0.15864960486097368,False,-0.009048286310822433,0.11800637125389485,-0.3850404342952133,0.11875223866649949,0.19908840352292476,0.002461999465638164,-0.010366937434011715,0.1204930294461533,-0.35923134645121085,0.12421753410783112,0.2033940673397524,0.002536801268907982,-0.0035593261913347105,0.10913076260585505,-0.46354910523006415,0.10445140545635988,0.1707852648471374,0.0022871377617655763,-0.0017509488365419405,0.10597108170423308,-0.5014752880469542,0.0973422445569846,0.1624799637979989,0.002259919302219826,0.0038114942250488866,0.09709255733500448,-0.6025500102797644,0.07959212428482318,0.12952497563414703,0.002399007180006114,0.005300663334846148,0.0961244526569808,-0.6153114680393723,0.07322104439133782,0.11774424834956033,0.0027394215294266376,0.00573554091568964,0.09608240586840504,-0.6131655714178015,0.07054684188806126,0.11575815852028858,0.0030901033084295287
2026-01-15,7289.302830965615,0.9232876712328767,179,0.15436643357967303,False,-0.009159246633004754,0.11759332094682552,-0.3833504574608281,0.11021910604598327,0.19873283287178545,0.0025296302509264347,-0.010515730693155107,0.12011866016928603,-0.3576469690520157,0.11564512322134018,0.2033928473294534,0.0026085725283781277,-0.003709427991200343,0.10872130915309809,-0.4619452982333149,0.0959969994366967,0.17055955408955634,0.002356964290390104,-0.0018971186157028315,0.10537921466876991,-0.49990523227846934,0.08968769519076798,0.1619701596966236,0.00232475313254079,0.003241008009379391,0.09626537926111597,-0.5976391068365394,0.07657962062230432,0.1299823133114051,0.002388139286657732,0.004850942225845869,0.09417941433183008,-0.6156801291212094,0.07296155417192274,0.11750118392235372,0.0024444502817335127,0.005528657788214539,0.09392618931971022,-0.6133030917180033,0.07040863817988947,0.11555210260409676,0.0028007453312597535
